και	c e
να	n a
το	t o
του	t u
την	t i n
της	t i s
που	p u
με	m e
για	ʝ a
από	a p ò
η	i
είναι	ì n e
τα	t a
σε	s e
των	t o n
ο	o
δεν	ð e n
θα	θ a
στο	s t o
τον	t o n
τους	t u s
στην	s t i n
ότι	ò t i
τη	t i
οι	i
τις	t i s
μια	m i/j a
ένα	è n a
μου	m u
μας	m a s
ή	ì
αυτό	a f t ò
στη	s t i
έχει	è ç i
αλλά	a l à
στις	s t i s
στα	s t a
σας	s a s
στον	s t o n
αν	a n
πολύ	p o l ì
ως	o s
όπως	ò p o s
πρέπει	p r è p i
έχουν	è x u n
κι	c i
σου	s u
αυτή	a f t ì
μπορεί	b o r ì
μόνο	m ò n o
πως	p o s
κατά	k a t à
πιο	p i/j o
όμως	ò m o s
κ	k
όταν	ò t a n
μέσα	m è s a
κάθε	k à θ e
είχε	ì ç e
γιατί	ʝ a t ì
τι	t i
προς	p r o s
οποία	o p ì a
όχι	ò ç i
μετά	m e t à
αυτά	a f t à
στους	s t u s
δύο	ð ì o
όλα	ò l a
κάτι	k à t i
μην	m i n
υπάρχει	i p à r ç i
κάνει	k à n i
χρόνια	x r ò ɲ a
σαν	s a n
μία	m ì a
χωρίς	x o r ì s
ένας	è n a s
δε	ð e
ενώ	e n ò
τόσο	t ò s o
τώρα	t ò r a
ακόμα	a k ò m a
εδώ	e ð ò
έτσι	è t s i
οποίο	o p ì o
μέχρι	m è x r i
όπου	ò p u
πριν	p r i n
καθώς	k a θ ò s
έχω	è x o
απο	a p o
πάνω	p à n o
επίσης	e p ì s i s
έναν	è n a n
θέμα	θ è m a
τότε	t ò t e
άλλο	à l o
ενός	e n ò s
σήμερα	s ì m e r a
α	a
ε	e
ζωή	z o ì
εγώ	e ɣ ò
ούτε	ù t e
μεταξύ	m e t a k s ì
ελλάδα	e l à ð a
μαζί	m a z ì
τ	t
τρόπο	t r ò p o
μη	m i
όσο	ò s o
έχουμε	è x u m e
θέση	θ è s i
πάντα	p à d a
γίνει	ʝ ì n i
π	p
σ	s
αυτές	a f t è s
ακόμη	a k ò m i
εκεί	e c ì
λοιπόν	l i p ò n
άλλη	à l i
ώστε	ò s t e
υπάρχουν	i p à r x u n
εν	e n
μιας	m i/j a s
φορά	f o r à
μ	m
καλά	k a l à
πολλά	p o l à
γίνεται	ʝ ì n e t e
άλλα	à l a
απ	a p
όλοι	ò l i
πρώτη	p r ò t i
στιγμή	s t i ɣ m ì
λέει	l è i
οτι	o t i
ίδια	ì ð i/j a
λίγο	l ì ɣ o
δηλαδή	ð i l a ð ì
είπε	ì p e
είμαι	ì m e
μπορούν	b o r ù n
ποτέ	p o t è
είχαν	ì x a n
νέα	n è a
παιδιά	p e ð ʝ à
κάποια	k à p ç a
ίδιο	ì ð i/j o
μεγάλη	m e ɣ à l i
κόσμο	k ò z m o
περισσότερο	p e r i s ò t e r o
ειναι	i n e
αφού	a f ù
πράγματα	p r à ɣ m a t a
επειδή	e p i ð ì
περίπτωση	p e r ì p t o s i
χρόνο	x r ò n o
κανείς	k a n ì s
φορές	f o r è s
αυτός	a f t ò s
μέρος	m è r o s
κάτω	k à t o
όλες	ò l e s
σχέση	s ç è s i
είτε	ì t e
πολιτική	p o l i t i c ì
λόγω	l ò ɣ o
χώρα	x ò r a
πολλές	p o l è s
σχετικά	s ç e t i k à
κάνουν	k à n u n
μέσω	m è s o
όλους	ò l u s
πρόβλημα	p r ò v l i m a
πλέον	p l è o n
ώρα	ò r a
τέλος	t è l o s
γ	ɣ
ήδη	ì ð i
πώς	p ò s
πάλι	p à l i
σπίτι	s p ì t i
αφορά	a f o r à
ομάδα	o m à ð a
ακριβώς	a k r i v ò s
έγινε	è ʝ i n e
μεγάλο	m e ɣ à l o
ι	i
πίσω	p ì s o
άλλες	à l e s
όλο	ò l o
ζωής	z o ì s
παρά	p a r à
ίσως	ì s o s
άνθρωποι	à n θ r o p i
πω	p o
σύστημα	s ì s t i m a
ό	ò
στοιχεία	s t i ç ì a
κάποιος	k à p ç o s
απλά	a p l à
τίποτα	t ì p o t a
εάν	e à n
αποτέλεσμα	a p o t è l e z m a
εκτός	e k t ò s
γεγονός	ʝ e ɣ o n ò s
τελευταία	t e l e f t è a
ιστορία	i s t o r ì a
έκανε	è k a n e
περίπου	p e r ì p u
σημαίνει	s i m è n i
φαίνεται	f è n e t e
εις	i s
κατάσταση	k a t à s t a s i
κυρίως	c i r ì o s
βάση	v à s i
διάρκεια	ð ʝ à r c i a
αυτήν	a f t ì n
περιοχή	p e r i/j o ç ì
πρώτο	p r ò t o
εκ	e k
αυτούς	a f t ù s
ευρώ	e v r ò
έχετε	è ç e t e
χρήση	x r ì s i
κάνω	k à n o
κάποιο	k à p ç o
αυτόν	a f t ò n
είμαστε	ì m a s t e
οποίος	o p ì o s
μπορούσε	b o r ù s e
επί	e p ì
άρθρο	à r θ r o
λόγο	l ò ɣ o
όλη	ò l i
είχα	ì x a
καλό	k a l ò
αποτελεί	a p o t e l ì
δ	ð
βρίσκεται	v r ì s c e t e
χώρο	x ò r o
αυτού	a f t ù
συνέχεια	s i n è ç i a
ας	a s
μέρα	m è r a
αυτοί	a f t ì
οποίες	o p ì e s
αρχή	a r ç ì
αρκετά	a r c e t à
θέματα	θ è m a t a
ανθρώπους	a n θ r ò p u s
σχόλια	s x ò ʎ a
προβλήματα	p r o v l ì m a t a
σύμφωνα	s ì m f o n a
έχεις	è ç i s
δυο	ð i o
θέλει	θ è l i
δουλειά	ð u ʎ à
μέλη	m è l i
χ	x
μπορώ	b o r ò
παράδειγμα	p a r à ð i ɣ m a
εμείς	e m ì s
άλλους	à l u s
έργο	è r ɣ o
γύρω	ʝ ì r o
περισσότερα	p e r i s ò t e r a
σχεδόν	s ç e ð ò n
κυβέρνηση	c i v è r n i s i
μμ	m
αθήνα	a θ ì n a
ξέρω	k s è r o
σημείο	s i m ì o
πραγματικά	p r a ɣ m a t i k à
τελικά	t e l i k à
επίπεδο	e p ì p e ð o
ν	n
κάνουμε	k à n u m e
τουλάχιστον	t u l à ç i s t o n
παραπάνω	p a r a p à n o
καλή	k a l ì
νέο	n è o
άνθρωπος	à n θ r o p o s
άλλων	à l o n
έπρεπε	è p r e p e
μάλιστα	m à l i s t a
αυτής	a f t ì s
έξω	è k s o
χώρες	x ò r e s
είσαι	ì s e
γι	ʝ i
διαδικασία	ð i/j a ð i k a s ì a
αυτών	a f t ò n
υπό	i p ò
πληροφορίες	p l i r o f o r ì e s
μπορείτε	b o r ì t e
κοντά	k o d à
μέρες	m è r e s
ιδιαίτερα	i ð i/j a ì t e r a
καλύτερα	k a l ì t e r a
κλπ	k l p
έως	è o s
μπορούμε	b o r ù m e
θέλω	θ è l o
μπροστά	b r o s t à
όνομα	ò n o m a
βέβαια	v è v e a
όλων	ò l o n
