Σ σ
Β β
Γ γ
ΤΣ τσ
Ρ ρ
Ζ ζ
Λ λ
Κ κ
Ν ν
Ό ο
Ο ο
ΣΤ στ
Τ τ
Μ μ
Δ δ
Ξ ks
Φ φ
Ψ ps
θ θ
Π π
Χ χ
Ώ ω
Ω ω
Ά α
Έ ε
Α α
Ε ε
Ή η
Η η
Ί ι
Ι ι
Ύ υ
Υ υ
ΑΊ αι
ΑΙ αι
ΟΎ ου
ΟΥ ου
αύδ àvð
αύβ àv
αύγη àvɣi
αύγει àvɣi
αύγοι àvɣi
αύγυ àvɣi
αύγι àvɣi
αύγαι àvɣe
αύγα àvɣa
αύγου àvɣu
αύγο àvɣo
αύγω àvɣo
αύζ àvz
αύσ àfs
αύθ àfθ
αύτ àft
αύφ àf
αύπ àfp
αύκ àfk
αύχη àfxi
αύχει àfxi
αύχοι àfxi
αύχυ àfxi
αύχι àfxi
αύχαι àfxe
αύχε àfxe
αύχα àfxa
αύχου àfxu
αύχο àfxo
αύχω àfxo
αύσ àfs
εύδ èvð
εύβ èv
εύγη èvɣi
εύγει èvɣi
εύγοι èvɣi
εύγυ èvɣi
εύγι èvɣi
εύγαι èvɣe
εύγα èvɣa
εύγου èvɣu
εύγο èvɣo
εύγω èvɣo
εύζ èvz
εύθ èfθ
εύσ èfs
εύτ èft
εύφ èf
εύπ èfp
εύκ èfk
εύχη èfxi
εύχει èfxi
εύχοι èfxi
εύχυ èfxi
εύχι èfxi
εύχαι èfxe
εύχε èfxe
εύχα èfxa
εύχου èfxu
εύχο èfxo
εύχω èfxo
εύρ èvr
εύν èvn
εύμ èvm
εύλ èvl
αύρ àvr
αύν àvn
αύμ àvm
αύλ àvl
αυδ avð
αυβ avɣ
αυγη avɣi
αυγει avɣi
αυγοι avɣi
αυγυ avɣi
αυγι avɣi
αυγαι avɣe
αυγα avɣa
αυγου avɣu
αυγο avɣo
αυγω avɣo
αυζ avz
αυθ afθ
αυσ afs
αυτ aft
αυφ af
αυχη afxi
αυχει afxi
αυχοι afxi
αυχυ afxi
αυχι afxi
αυχαι afxe
αυχε afxe
αυχα afxa
αυχου afxu
αυχο afxo
αυχω afxo
αυσ afs
αυπ afp
αυκ afk
ευδ evð
ευβ ev
ευγη evɣi
ευγει evɣi
ευγοι evɣi
ευγυ evɣi
ευγι evɣi
ευγαι evɣe
ευγα evɣa
ευγου evɣu
ευγο evɣo
ευγω evɣo
ευζ evz
ευθ efθ
ευσ efs
ευτ eft
ευφ ef
ευπ efp
ευκ efk
ευχη efxi
ευχει efxi
ευχοι efxi
ευχυ efxi
ευχι efxi
ευχαι efxe
ευχε efxe
ευχα efxa
ευχου efxu
ευχο efxo
ευχω efxo
ευρ evr
ευν evn
ευμ evm
ευλ evl
αυρ avr
αυν avn
αυμ avm
αυλ avl
αυτ aft
μπιά bjà
μπιού bjù
μπιό bjò
μπιώ bjò
μπιέ bjè
πιά pjà
πιού pjù
πιό pjò
πιώ pjò
πιέ pjè
ντιά djà
ντιού djù
ντιό djò
ντιώ djò
ντιέ djè
τιά tjà
τειά tjà
τιού tjù
τιό tjò
τιώ tjò
τιέ tjè
φιά fjà
φειά fjà
φιού fjù
φιό fjò
φιώ fjò
φιέ fjè
βιά vjà
βιού vjù
βιό vjò
βιώ vjò
βιέ vjè
θιά θjà
θειά θjà
θυά θjà
θιού θjù
θιό θjò
θιώ θjò
θιέ θjè
σιά sjà
σιού sjù
σιό sjò
σιώ sjò
σιέ sjè
ζιά zjà
ζιού zjù
ζιό zjò
ζιώ zjò
ζιέ zjè
διά ðjà
δειά ðjà
διέ ðjè
διού ðjù
διό ðjò
διώ ðjò
λιά ljà
λειά ljà
λειώ ljò
