Σ σ
Β β
Γ γ
ΤΣ τσ
Ρ ρ
Ζ ζ
Λ λ
Κ κ
Ν ν
Ό ο
Ο ο
ΣΤ στ
Τ τ
Μ μ
Δ δ
Ξ ks
Φ φ
Ψ ps
θ θ
Π π
Χ χ
Ώ ω
Ω ω
Ά α
Έ ε
Α α
Ε ε
Ή η
Η η
Ί ι
Ι ι
Ύ υ
Υ υ
ΑΊ αι
ΑΙ αι
ΟΎ ου
ΟΥ ου
αύδ avð
αύβ av
αύγη avɣi
αύγει avɣi
αύγοι avɣi
αύγυ avɣi
αύγι avɣi
αύγαι avɣe
αύγα avɣa
αύγου avɣu
αύγο avɣo
αύγω avɣo
αύζ avz
αύσ afs
αύθ afθ
αύτ aft
αύφ af
αύπ afp
αύκ afk
αύχη afxi
αύχει afxi
αύχοι afxi
αύχυ afxi
αύχι afxi
αύχαι afxe
αύχε afxe
αύχα afxa
αύχου afxu
αύχο afxo
αύχω afxo
αύσ afs
εύδ evð
εύβ ev
εύγη evɣi
εύγει evɣi
εύγοι evɣi
εύγυ evɣi
εύγι evɣi
εύγαι evɣe
εύγα evɣa
εύγου evɣu
εύγο evɣo
εύγω evɣo
εύζ evz
εύθ efθ
εύσ efs
εύτ eft
εύφ ef
εύπ efp
εύκ efk
εύχη efxi
εύχει efxi
εύχοι efxi
εύχυ efxi
εύχι efxi
εύχαι efxe
εύχε efxe
εύχα efxa
εύχου efxu
εύχο efxo
εύχω efxo
εύρ evr
εύν evn
εύμ evm
εύλ evl
αύρ avr
αύν avn
αύμ avm
αύλ avl
αυδ avð
αυβ avɣ
αυγη avɣi
αυγει avɣi
αυγοι avɣi
αυγυ avɣi
αυγι avɣi
αυγαι avɣe
αυγα avɣa
αυγου avɣu
αυγο avɣo
αυγω avɣo
αυζ avz
αυθ afθ
αυσ afs
αυτ aft
αυφ af
αυχη afxi
αυχει afxi
αυχοι afxi
αυχυ afxi
αυχι afxi
αυχαι afxe
αυχε afxe
αυχα afxa
αυχου afxu
αυχο afxo
αυχω afxo
αυσ afs
αυπ afp
αυκ afk
ευδ evð
ευβ ev
ευγη evɣi
ευγει evɣi
ευγοι evɣi
ευγυ evɣi
ευγι evɣi
ευγαι evɣe
ευγα evɣa
ευγου evɣu
ευγο evɣo
ευγω evɣo
ευζ evz
ευθ efθ
ευσ efs
ευτ eft
ευφ ef
ευπ efp
ευκ efk
ευχη efxi
ευχει efxi
ευχοι efxi
ευχυ efxi
ευχι efxi
ευχαι efxe
ευχε efxe
ευχα efxa
ευχου efxu
ευχο efxo
ευχω efxo
ευρ evr
ευν evn
ευμ evm
ευλ evl
αυρ avr
αυν avn
αυμ avm
αυλ avl
αυτ aft
μπιά bja
μπιού bju
μπιό bjo
μπιώ bjo
μπιέ bje
πιά pja
πιού pju
πιό pjo
πιώ pjo
πιέ pje
ντιά dja
ντιού dju
ντιό djo
ντιώ djo
ντιέ dje
τιά tja
τειά tja
τιού tju
τιό tjo
τιώ tjo
τιέ tje
φιά fja
φειά fja
φιού fju
φιό fjo
φιώ fjo
φιέ fje
βιά vja
βιού vju
βιό vjo
βιώ vjo
βιέ vje
θιά θja
θειά θja
θυά θja
θιού θju
θιό θjo
θιώ θjo
θιέ θje
σιά sja
σιού sju
σιό sjo
σιώ sjo
σιέ sje
ζιά zja
ζιού zju
ζιό zjo
ζιώ zjo
ζιέ zje
διά ðja
δειά ðja
διέ ðje
διού ðju
διό ðjo
διώ ðjo
λιά lja
λειά lja
λειώ ljo
λειέ lje
λιού lju
λιό ljo
λιώ ljo
λιέ lje
ριά rja
ρειά rja
ριέ rje
ριού rju
ριό rjo
ριώ rjo
μιά mja
μιέ mje
μιού mju
